,sentence,physics,race,religion
35,"Subhanallah, we will all be questioned about this, the least we can do is make Dua",0,0,1
36,Allah Rahem.,0,0,1
37,😭😭😭😭 ya Allah reham😭😭😭😭,0,0,1
38,This is so Sad😭💔 My Prayers are up for the people of Yemen🙏,0,0,1
39,This world should just end. Ya Allah please put an end to the most suffering 😞💔💔💔,0,0,1
40,O Allah rehem,0,0,1
41,"Ya Allah this is such a shame ya Allah swt help these innocent children, help our Ummah, make them powerful in Imaan and strength against those who oppress them 😢🤲🏻",0,0,1
42,"💔💔💔How could someone cause such innocent children and any human being soooo much pain and sleep peacefully, they will have to answer to the one and only creator and the all powerful God (the king of kings) on the Day of Judgement. Who will save them then? May Allah(SWT) have mercy on all human beings suffering such atrocities. 😥 😠💔 ☝️",0,0,1
43,Ya Allah 💔💔💔💔,0,0,1
44,Subhan ALLAH,0,0,1
45,Oh my Allah have mercy on these little angels!!!,0,0,1
46,May Allah bless them in abundance,0,0,1
47,Allah bless these folks and punish accordingly and even more tgose who do this to these people. Idc im allowed to make dua againts the oppressors,0,0,1
48,The Saudis are given the holiest sites for the Islamic world. These are the people who are to care for them that disregard their own brothers and sisters,0,1,1
49,Please help them if you are fortunate enough. Allah help our human souls who are in need. Celebrities help and reach out @younesbendjima @frenchmontana @djsnake @willsmith @kimkardashian @djkhaled @jadapinkettsmith @krisjenner @theellenshow,0,0,1
50,Salaam! Check out my page for Islamic shirts!,0,0,1
51,"@qudsia84 @princesskh4nix @shamila73 @jellybabiesxxxxx @zuleikhamariam @s4lmap @mezzamiah @biila_x @rani.ox @g.a.s.uk guys, let's give whatever we can, even if it's just a little. Allah accept it for them and from us. Ameen. Tag your friends too. You know I don't normally do this, but I can't not tag you guys. ❤️",0,0,1
52,@un_apologatically_muslimah well said,0,0,1
53,@na2r4 Ameen 🙏🏽😢,0,0,1
54,@ahmedakhonzada they are the most disgusting fake Muslims in the world!!!,0,0,1
55,"Abu Huraira reported: The Messenger of Allah, peace and blessings be upon him, said, “Charity does not decrease wealth, no one forgives another except that Allah increases his honor, and no one humbles himself for the sake of Allah except that Allah raises his status.”
 Source: Ṣaḥīḥ Muslim 2588",0,0,1
56,"inna lilahi w inna ilayhi raji'oon, 😔",0,0,1
57,Inna lilahy wa inna lilahy rajun,0,0,1
58,May Allah grant her Jannah,0,0,1
59,She is beautiful!!! May her soul now takes it rest!! My GOD today how MUCH more will these wicked dog spirited males become! People are cold blooded blood thristy cold heartedly murdering the innocent ones instead of the GUILTY ones!!!,0,0,1
60,@muslimsoftheworld1 could you kindly have a venmo setup( because a lot of us find it easier with venmo). We donate to you and you donate to them inshaAllah.,0,0,1
61,I hate the Saudi regime! May they face the wrath of God for killing innocent Yemenis,0,1,1
62,@jaffar.is.here May allah bless u ameen🙌,0,1,1
63,@nada2771 and you too. Inshallah it ends soon,0,0,1
64,Mercy oh my Allah....mercy,0,0,1
65,"May Almighty Allah grant her Jannatul Firdaus, Ameen.",0,0,1
66,@noorsibgha @rahiquemakhtoom @aimu_mudassar @jia_muqeet Inna Lillahi Wa Inna ilaihi Rajiuun,0,0,1
67,My cousin came back from the middle East and spoke with a guy in Yemen eating mud to stay alive it's very important we all help the poor it's our duty as Muslim,0,1,1
68,Damn to saudi Arabia that they call themseves muslim!,0,1,1
69,May Allah give u strength and patience to receive the greatest reward of all for ur trial..Jannat!!! MashaAllah!,0,0,1
70,"SubhanAllah such beautiful sentiments sister! you're a beacon of strength and may Allah bless you with ever more happiness, aameen 🙏",0,0,1
71,May God bless you and always keep you healthy !!!!🌺❤️,0,0,1
72,"Wow so beautiful, ❤️❤️ may Allah bless her",0,0,1
73,"Mashallah, may Allah bless you and make you stronger, your a real inspiration to many 👍",0,0,1
74,Amazing MashAllah ❤️ love your positive vibes,0,0,1
75,What a beautiful inspiration MashAllah 💐,0,0,1
76,Masha Allah. May allah bless,0,0,1
77,May Allah grant u sabr and strength. Mashallah. Aameen,0,0,1
78,@hala.mah95 you are beautiful mashallah! Thank you for sharing your story💗,0,0,1
79,MashaAllah what an incredibly positive mind set. Wow! ❣️,0,0,1
80,You are a great inspiration to all the disabled people including myself who struggle to find the beauty in the imperfection. I pray God fortifies your beautiful penchant for life with every passing day and allows you to spread this message to all those desperately in need. Much love from my heato yours 💕,0,0,1
81,"“Allah does not burden a soul beyond that it can bear”
 MashAllah May you be blessed",0,0,1
82,Allah barek feekee!! Truly an inspiration. Inshallah you continue to bless people with your beautiful smile,0,0,1
83,So positive subhanallah ♥️♥️,0,0,1
84,No sects in Islam only Muslim,0,0,1
85,@jaffar.omar00 then you try stay quiet. Like the Prophet speak good or stay silent.,0,0,1
86,@sami.aziz99 This is an Islamic saying. I hate that they put Sufi smh,0,0,1
87,Mashallah post,0,0,1
88,"@sami.aziz99 there are sects in Islam, we must come to this reality. Secondly, Sufi is not a sect",0,0,1
89,Allahu Akbar Masha Allahu barrakallah,0,0,1
90,"@killabillaaa well the first meeting appears to have taken place at a mosque / similar setting. They're Bosnian, it's pretty common for Bosnians to ‘date' (in the sense that you meet up and talk) even if you're religious.",0,0,1
91,This is the most beautiful and meaningful story / proposal ever !! MashaAllah! May Allah bless your marriage and Alf mabrook ! 💜,0,0,1
92,Mashallah💜,0,0,1
93,SubhanAllah ✨ @gianni.yahyaa,0,0,1
94,@saaalma_m ya Allah hiw beautiful 😍😍 mashaAllah,0,0,1
95,"What we all really strive for. Subhanallah. ""Allah is the one who gave us this love, and we are the ones who should be thanking him"".",0,0,1
96,"O you who have believed, do not take the Jews and the Christians as allies. They are [in fact] allies of one another. And whoever is an ally to them among you - then indeed, he is [one] of them. Indeed, Allah guides not the wrongdoing people. Quraan (5:51)",0,0,1
97,"@ali_army9 they helped people who were traumatized,huetc,health care in America is extremely expensive and lots of people can't afford it or go bankrupt trying,they raised money for these people and they did Dawah,in today's world where the media shows Muslims to be horrible these people showed that we aren't and that we should help people regardless of religion",0,1,1
98,"@_.yasemindemir._ I'm sorry for saying those words. I do not want to cause any harm to anyone but as a Muslim I am worried about the Muslims in Palestine. You're right, and I repeat that they forgive if I have offended someone. 🌙",0,1,1
99,"@yusrabz as a Muslim revefrom a Jewish/Christian family, I care DEEPLY for the people of Palestine and other areas. I always donate what I can, but we must remember love and charity goes to all. When people of different faiths see us helping it can encourage them to be Muslim and see the truth. I converted because I saw the beauty of Islam and it's kindness. We have enough faith to share with everyone.",0,1,1
100,@svbhi What in the world does that have anything to do with doing good as a Muslim ?,0,0,1
101,I'm Palestinian but not all Jews are israelies people. Actually that's really nice,0,0,1
102,The things American Muslims are doing to fit in.,0,0,1
103,"Beautiful story, marriage can end anytime no matter how big the love is between you and husband and and love will change to hate but subhanalaah the love between mother and her children is always unconditional love no matter what your children do you will always pray and love them.
 May allah bless your beautiful babies and give you the strength to bring them up.💕big respect 💕",0,0,1
104,"@lubna_abura you may have lost a husband, but u gained two bundles of joy! Mashallah they are adorable. I wish you all the best life can offer.",0,0,1
105,SubhanAllah o mashallah,0,0,1
106,"Congratulations on your bundles of joy 😍😢, I can relate, I have twins too, it can be a truly overwhelmingly beautiful time of ones life, Instead of one bundle Allah blesses you with two. But with me it's the other way around I was diagnosed with the C****r last yr, can't cope with the thought of maybe having to depafrom them. May Allah give us the hope & strength we need xx @lubna_abura",0,0,1
107,Mashallah,0,0,1
108,SubhanAllah. Caption is so moving. You see the blessings within your trial. Alhamdulillah 😘 @lubna_abura,0,0,1
109,What a beautiful thought may Allah shower you with abundance of strength and patience dear ❤️,0,0,1
110,If Allah can give you twins He will provide for them too. Have patience and lots of trust in Him. He is the best planner nurturer have no despair,0,0,1
111,@dh_07x Read surah al fateha on water 7 times and drink it. Do this every day and insha Allah you will heal. may Allah give you quick shifa ameen.,0,0,1
112,@essma1018 Ameen 🌸,0,0,1
113,@sabinakhan510 mashالله. Wa tabarakالله indeed الله is the Most Merciful. May you have the good you have here all the way in Jannah Firdaous.,0,0,1
114,@damacey_ali_amir Ameen JAK. 🌸,0,0,1
115,@afrah99 Jak Ameen,0,0,1
116,"I am a mom of twins boys, they just turned 6 months! Its hard. Very very hard. But you can do it 😍 Allah y7mehm",0,0,1
117,South Africa ..... strong Muslim influence.....get the youth involved,0,0,1
118,Great story ....... and u should be a grateful for Allah that he chosen u to be a Muslim ........ its the greatest winning of your life ........ I wish u happiness,0,0,1
119,"Wow that is so amazing and inspirational... I'm not a second generation nor am I as young as you and many of your commenters... I have lived many years lost and confused despite having loving, caring Muslim parents. To read that beautiful YOUNG people like you have the maturity, strength, conviction AND wisdom to take responsibility of your Deen at such an early age is so admirable. You put me to shame... May Allah continually bless you and guide you and keep you on the right path and myself and the rest of our community too! Amen. Much love.",0,0,1
120,May Allah grant you blessing double from your struggle ☘️🙏🏻,0,0,1
121,May Allah bless u ☺️,0,0,1
122,"Masya Alloh, alhamdulillah, Allohu Akbar, Tabarrakalloh.. ❤️❤️❤️❤️",0,0,1
123,😍😍😍😍 You are lucky Masha Allah and i knew this must be in morroco May Allah bless us all and learning the quran is the best thing you have ever did. I wished i could be like you. You are Amazing !! Beautiful pic,0,0,1
124,Mashaallah 😍😍,0,0,1
125,Assalamualaikum sis @abdiya.iman you taught Quran in Morocco so what do think about aya 31 from “surat alnoor” chapter 24 ?? .. with my respect ☺️,0,0,1
126,"It's very motivating and I believe you can be of a positive influence and suppoto many struggling with either accepting Islam or living life as Muslims. I didn't see anything like that on your instagram, it's more fashion. So can you send where exactly you went in Morocco to learn the Quran and who exactly to contact if others can go to get help with Islam",0,0,1
127,"When I was 18 years old I converted to Islam, before I was Catholic; I spent a few years looking for the Truth, and asking God to grant it to me, AlhamduLillah I found The Truth and that was my happiness, to know Allah, S.W.T. and this beautiful religion.",0,0,1
128,MaaShaa Allah! 😇,0,0,1
129,What a beautiful read! Allah keep you & us on the path of deen,0,0,1
130,@bayan_b.d I am not a Qur'an teacher,0,0,1
131,Masha Allah 👌👌👌👌👌👌👌👌,0,0,1
132,Beautiful mashallah! Thanks for sharing.,0,0,1
133,Subhanallah! What a beautiful story to inspire those struggling to find their deen.,0,0,1
134,"@lover_of_awliya_allah especially if the reveis a blonde, blue-eyed white man. It's not wrong though.",0,0,1
135,Ma'Sha'Allah 🙏🏼,0,0,1
136,Mashallah,0,0,1
137,May Allah bless you,0,0,1
138,"Will there be something like this in Canada? Id love to go to this, insha Allah.",0,0,1
139,"We must respect the living of whom bare God's truth and are shepherds to God's people. We respect the dead of whom had exhibited God's truth and Jesus' example during their lives here, before their moment of death. Jesus came to heal the ill of faith and the sinner, as a physician comes to heal the ill of the physical body. Pope Francis is a very good man and a very worthy shepherd. He exhibits gifts of spiritual healing towards the Master's sheep.",0,0,1
140,Praise God!,0,0,1
141,What a love in Christ Jesus,0,0,1
142,you are saying a big thing what your saying is not from your knowleg or your for fathers its not more than a lie i sayed this becuse you pointed to god as a father,0,0,1
143,amen💙,0,0,1
144,Amém 🙏🙏,0,0,1
145,Amen,0,0,1
146,Why does the pope have an instagram,0,0,1
147,"@AtheistRepublic Religion can really fuck with a person's mind that even the children's children of slaves thank ""The lord"" for slavery.",0,0,1
148,I'm sooo tired of this make believe shit! When are people going to wake the fuck up! Religion is the root of all war! Look at the history of the world! #whataminotseeing,0,0,1
149,"Religion trying to fuck the hell out of the State, again. https://t.co/BbEYnYc2En",0,0,1
150,@ChnkyLve I wish you could hear this dude. He has brought everything back in his life to Jesus' will. Tell me how the fuck organized religion can't be considered a cult?,0,0,1
151,"@LeonKnight_: U get your reward in the afterlife, only if u are a good slave! Fuck religion!",0,0,1
152,"Fuck ID Your belief, do you believe Islam is a right religion? — No, I believe all the religions have been created by humans.",0,0,1
153,It's a NO for the fucking religion and a big motherfucking YES for justice equality and freedom fuck the religion,0,0,1
154,"If you're stupid and scared to die, try religion. And fuck it, try arbys too. Try whatever you want. Once it goes black you never go back.",0,0,1
155,how to get into the mindset of a christian bc what the fuck is this religion exam,0,0,1
156,@MagdaDavitt77 Fuck Religion (with lyrics) https://t.co/wNRrTsxF53 via @YouTube,0,0,1
157,"@Chimeraish Fuck... Everywhere in the world religion is a pain in the ass. Even then, it still exists... Don't even know for whatt. :-(",0,0,1
158,beto saying fuck is my religion,0,0,1
159,Religion is the victory of narrative over facts. Science is the victory of facts over narrative. Trumpism is a religion. Fuck religion.,0,0,1
160,"Beware of the christian, theyre both trying to staa holy war. Sorry but fuck no, I hate the idea of millions dying for the sake of pure lies, memes of their time thats all religion is. https://t.co/WcCjmkL5wV",0,0,1
161,How the fuck can a MUSLIM stop a speaker at an ENGLISH university?..... YOU BETTER BELIEVE THAT THE ENGLISH GOVERNMENT IS IN THE POCKETS OF THE PAEDO FUCKIN RELIGION ðŸ˜¡ https://t.co/bzv4PkGn5c,0,0,1
162,Religion is so dumb like actually what the fuck were people thinking,0,0,1
163,i get so mad every time someone says they are pro-life because that's like . a big discussion my country had this year (still going on) and it upsets me so much how religion can fuck people lifes,0,0,1
164,"Drop the islam, christianity, new age religion, buddah, and european stuff. Find out what traditional Afrikan practices, spirituality, and psychology is about and apply them to your daily life. Learn an Afrikan language (fuck english). Your world will change drastically.",0,1,1
165,"@redpillarchive @ReignbowFright @Atheism_Has_Nil Fuck Islam. It's no better than any other religion. In many ways, it's worse. But that isn't at issue for the moment. You said math and science can prove god. I'm listening/reading.",0,0,1
166,Fuck the Bible. How dare you want to selectively impose a man made up belief system onto young minds without teaching ALL the impacts that religion has had on society and history. It hasn't been pretty and young minds need to now ALL the facts. Is this education or recruitment?,0,0,1
167,Bisexual JESUS,1,0,1
168,@eastcoastwolf Amen...Your photos are so lovely and wholesome! Your face is like an angel....so sweet! Take care and God bless You!,1,0,1
169,@RakwonOGOD: U hoes going to church this morning like y'all wasn't busting it wide open for niggas about 4 hours ago,1,1,1
170,@rachael_goss: Who wants to chill on campus w me &amp; throw bibles at bitches taking the walk of shame&#10067;&#10068;,1,0,1
171,@sheemteam97: Fuck the Islamic State!! We will kill those cunts&#127468;&#127463;,1,0,1
172,Roman Catholics in the US are trash. They give Catholics in Europe a bad name.,1,1,1
173,So many bitches in one sentence #fixitjesus,1,0,1
174,TRUST ME when I say that #JesusChrist would be KILLING #faggots if he came back to life in today's day and age&gt; #Spartacus #Rome,1,0,1
175,The leftist/homosexual war on the #Catholic church kicked into high gear with the infiltration of the priesthood by boy-raping fags...,1,0,1
176,"Typically hateful, anti-Christian, mentally ill and ugly dyke trash pig couple Jennifer McCarthy and Melisa Erwin http://t.co/tW9Nl5Hkmt",1,0,1
177,"You #football #nigga #KISS #ISIS #wifebeater #faggots&gt; WE SEE YOU&gt; Shout it out to the RADICAL #IslamNation, #YO&gt;",1,1,1
178,fucking CHRIST i hate tutors and TAs. you literally get paid to teach retards to stop picking their nose. GET THE FUCK OUTTA MY FACE,1,0,1
179,hope gezus gets shot in his faggot head #houston #nbombs,1,0,1
180,"@RWzr: Too many faithful girls are single, and too many hoes are taken.",1,0,1
181,"@RealSexNotes: Too many faithful girls are single, and too many hoes are taken.",1,0,1
182,"@ReverendGrim: God bless those delusional bitches still trying to keep ""duck face"" alive.",1,0,1
183,@RhineRunIt: Henny &amp; hoes. @TiFFANY_P0RSCHE: Peace &amp; tranquillity &#8220;@daddykn0wsbest: If you were a Greek Mythical God&#8230;what would u be &#8230;,1,1,1
184,"@Rockprincess818: Obama is Allowing millions of illegal aliens, drug cartels, and terrorists to enter our open borders...Liberal retards&#8230;",1,0,1
185,@SLeyTMF: I aint nun to cut that bitch off,1,0,1
186,@Say_Lil_Zack: Why y'all's ain't do nun when the fat bitch jumped on me! Yall a trip&#8252;&#65039;,1,0,1
187,@SexualTruth: Jesus turns water into wine; Instagram turns busted bitches into dimes.,1,0,1
188,@Sexualgif: if you pass up the chance with a hot faithful girl cause the single life with hoes is on your mind you are just plain dumb m&#8230;,1,0,1
189,@Shirleeey___: &#8220;@Satisfied_x: At this Hispanic church. Jesus please respond to her&#128514;&#128514; https://t.co/JG0oL54Ney&#8221;&#128128;&#128514; you a hoe for this,1,0,1
190,"@StevStiffler: If her bio says ""Only God can judge me"" she's a hoe.",1,0,1
191,@TattedPapiChulo: Having a real bitch by your side and holding it down for you is a blessing &#128591; For Real.,1,0,1
192,@TheGoogleFactz: Cheating and having hoes gets old. Everyone should want to reach a point where they're mature enough to stay faithful &amp;&#8230;,1,0,1
193,@ThinkLikeRandy: When you've got 5 or 6 hoes every one of them sees her man as god.That's why you don't have sex with them very often. -&#8230;,1,0,1
194,@TommyShiner: Never snapchat will bishop. He is a screenshotting son of a bitch,1,0,1
195,"@VRTWxrk_Flash: Mac 10 lay on the floor like a matress ""@yungchipotle: Young based god came straight for the bitches""",1,0,1
196,"@_Kristin_Nikole: ""@zzachbarness: Swear AG ugly den a bitch. He look like a possum and giraffe mix breed."" This isnt funny. But I died l&#8230;",1,0,1
197,@_OgElizabeth: On god yall hoes better get off my twitter,1,0,1
198,@_posterboi: &#128591; Lord please don't let this bitch kill my vibe.,1,0,1
199,"@andrewtylerdick: &#8220;@ZWHITE93: Or... Run wildcat. Let Romo run that deep post, and have Murray bomb that bitch to Tony&#8221; &#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;",1,0,1
200,@capflowwatch: Apple CEO says &#8216;Being gay is a gift from God&#8217; as paof campaign to sell iPhone to queers.. http://t.co/lZE2E0wUyV,1,0,1
201,"Monsters that hide behind a religion to prey on children are the worst kind. If you protect, defend of make excuses for monsters. You are just as bad as they are. @franciscus is a gutless coward",1,0,1
202,Yeah you let the culture change when you let the chistrians fuck you with their religion. Yet you don't wanna talk about how our oldest traditions pay homage to our own God's aye!!! Now u wanna talk about sacred traditions fuckoutahea!!!,1,0,1
203,"@TheApostate94: Muslim: *claims their religion teaches them moral superiority, the ability to empathise &amp; respect others' opinions* Me: *puts forward fact showcasing Muhammad to be a cynical misogynist*
 Muslim: fuck you! I hope you're raped & stoned for disrespecting my beliefs! #muslimlogic",1,0,1
204,@JohnTibbs65 Who the fuck believes in god anymore. Religion was created to manipulate the masses. Basically ancient stories that civilizations told about the sun and stars above them. The church is the more evil institution to ever exist..,1,0,1
205,@ayehuasca: you know mfs trippin when they statalking abt politics you know mfs HIGH AF FUCK when they statalking abt gods and religion,1,0,1
206,"@sanjukta: I am a proud beef and pork eater, along with mutton fish rabbit duck. Animals or plants, we eat anything edible. Fuck all religion.",1,0,1
207,"@MariyaAlexander: Dear Women: Fuck you. Sincerely, Every Religion",1,0,1
208,"@koochiq civilization, the game it usually turns into a game of, FUCK YOU I WAS MAKING THAT NATIONAL MONUMENT, and, GET YOUR RELIGION OUT OF MY COUNTRY",1,0,1
209,"Time to stagetting these dirty muslims out of here, if Australia doesn't do something soon we'll end up like America. Inocent people shouldn't have to die because of these rats, there race and religion is putrid. Fit in or fuck off, it's that simple!!",1,1,1
210,@wvjoe911 Yes and God once told me I'd fuck Pamela Anderson and it hasn't yet. I know what God told me. Religion is a scam,1,0,1
211,"Imagine being raped &amp; told you're in a gang &amp; defended by a gang, or perhaps you like the next gang or maybe the next... It's nice to know rape is the initiation &amp; you'll be loved, Oh ! Here comes the church to save you ! All of you, truly FUCK OFF ! No Gangs &amp; No religion.",1,0,1
212,"Read this. Quite frankly, fuck the ""conscientious objectors"". Religion - and anyone telling you these objections aren't rooted in religion is being deeply dishonest - has no place in a domain where science and compassion should reign.",1,0,1
213,"@summer_armond: if you are christian, and you compare your religion to being gay... fuck you",1,0,1
214,@martuwu_ fuck religion,1,0,1
215,"Fuck your arabic identity, fuck your lebanese identity as well.
 This society will never change as long as it is controlled by religion and blind fucks who tell you that a woman should wear some soof curtains from head to toe, covering her body and her rights to have a decent -",1,1,1
216,"Always anointed to serve and do the heavy lifting, never good enough to be recognized as leaders. Reason #2951 why I <personally> don't fuck with Orthodox religion.",1,0,1
217,"I don't give a fuck about religious feelings. Retweet if you feel the same. If not, stay silent and let religion dictate acceptable speech.",1,0,1
218,@marcodelrio1610: Gods don't exist. Homeopathy doesn't work. Ghosts don't exist. Astrology is bollocks. Magic doesn't exist. Animals are better than us. Earth isn't flat. Vaccines work. Religion is man made. Chemtrails aren't real. Hunting sucks. Black lives matter. We're all immigrants Fuck Trump,1,0,1
219,Fuck true religion,1,0,1
220,religion and culture stress me the fuck out so bad jesus,1,0,1
221,"Fuck your religion, your pastor fucked kids",1,0,1
222,A lie doesn't become true just because people believe it. That's my opinion on religion fuck you im going to bed.,1,0,1
223,"Bitch who the fuck cares? Y'all religious people are SO fucking annoying. religion is man made, get the fuck over it https://t.co/rNi4vocPD7",1,0,1
224,Gods don't exist. Homeopathy doesn't work. Ghosts don't exist. Astrology is bollocks. Magic doesn't exist. Animals are better than us. Earth isn't flat. Vaccines work. Religion is man made. Chemtrails aren't real. Hunting sucks. Black lives matter. We're all immigrants Fuck Trump,1,0,1
225,Don't use religion as an excuse to be disgusting and then play the victim and then use it as if you're “Holyer Than Thou.” You're fucking disgusting if you use the Bible as an excuse to bash people for who they are as a human. Fuck you. ,1,0,1
226,@NocturnaGermani lol fuck no im anti religion. people need to snap outta that brain washing,1,0,1
227,"@nowthisnews Yeah, fuck religion. That's my submission.",1,0,1
228,I make jokes you fucktards. Fuck off my comments with vegan religion. Muted muted muted.. I can do this all day. Go be a shit somewhere else.,1,0,1
229,dude FUCK anyone against abortion. FUCK anyone who uses their religion as an argument for banning it. fuck all of you for trying to put your dumb ass beliefs into other people's lives that will NEVER effect you !!,1,0,1
230,"Fuck your religion, your pastor fucked kids",1,0,1
231,Fuck religion https://t.co/HWKZma3n8r,1,0,1
232,@Thatdamnhamm She didn't even want me to tell her the meaning of it. She practically tuned me. I instantly left it alone and thought to myself how religion really will fuck your life up.,1,0,1
233,Imagine this being a Muslim and the girl being a Christian. Or hell imagine it was an group of atheists doing this to a Christian girl. This is so cruel and wrong. Fuck your religion https://t.co/WHQtyECYFw,1,0,1
234,@CBCNews Religion of peace strikes again. When the fuck are we going to say no to these animals,1,0,1
235,Religion is pissing over mankind.. fuck religion and sky gods https://t.co/8rWBwXjAyA,1,0,1
236,Bc non-English-speaking people are less likely to report. FUCK. Can we just end men and religion (also man-made) already?? https://t.co/pQdMJKxWdb,1,0,1
237,"The twitter India motor f***ker hypocrite bstrd has given this reply for the tweet of Sanjukta Basu, in which she said ""Fuck all religion""... These people's are AntiHindu rascals and Pro jehaadi Pro antinationals. shamelessness of @TwitterIndia #ISupportJagratiShukla https://t.co/FFoQfh5ZWA",1,1,1
238,Fuck politics and fuck religion. I just want to swing a few lefts and a few rights for a couple of hundred mill in peace.,1,0,1
239,It's literally a fantasy tv show and you're a fantasy religion fuck off https://t.co/8feqGC81OY,1,0,1
240,@skuddbutt @BlackestWoman Cuz their religion is suppressive as fuck. :(,1,0,1
241,"Our people are dying because of their religion, race, or just because. How dare we all allow people to purchase a gun legally and shoot up synagogues, bars, movie theaters, schools, mosques, restaurants, and churches I know I'm shouting into a void but FUCK THIS. How do we fix it",1,1,1
242,"Fucking hell, religion just needs to fuck off, even the cool kids are turning into assholes. https://t.co/GswBhf79n4",1,0,1
243,"@ShatabdiC_27 @viswas_mr @ShefVaidya chutiye, the basic tenet of islam is not even acknowledging other religion.. how the fuck will they respect others?",1,0,1
244,"Sometimes I think I should stagoing to church or something, and then later I'm like wait organized religion is one of the evils plaguing our society right now.. fuck.",1,0,1
245,#da27 fuck religion,1,0,1
246,"@DoRtChristians Why the fuck are u tagging my home county fire into this god-fearing bullshit? Fuck off. Seriously. Our world is burning &amp; dying because of people like you who don't believe in reality, &amp; instead focus on your shit religion. Do s",1,0,1
247,Fuck religion. Fuck it.,1,0,1
248,"@LeonKnight_: U get your reward in the afterlife, only if u are a good slave! Fuck religion!",1,0,1
249,"@LeonKnight_: U get your reward in the afterlife, only if u are a good slave! Fuck religion!",1,0,1
250,"@LeonKnight_: U get your reward in the afterlife, only if u are a good slave! Fuck religion!",1,0,1
251,"U get your reward in the afterlife, only if u are a good slave! Fuck religion!",1,0,1
252,Gods don't exist. Homeopathy doesn't work. Ghosts don't exist. Astrology is bollocks. Magic doesn't exist. Animals are better than us. Earth isn't flat. Vaccines work. Religion is man made. Chemtrails aren't real. Hunting sucks. Black lives matter. We're all immigrants Fuck Trump,1,0,1
253,Fuck your shity religion.,1,0,1
254,Before any Savarna/Brahmin wants to proclaim himself as Anti-Caste. Get the fuck out of Hinduism. Being in any type of religion is stupidity and you are putting up with yourself crap written by some assholes way back.,1,0,1
255,If you believe that religion should be an important paof America. Please fuck off.,1,1,1
