,sentence,physics,race,religion
27,Honestly I studied abroad in Hong Kong and you could feel the stares when you would walk around the city. But one of the best moments was when I was exiting the metro and I spotted another black girl as she was entering. We both had a moment where it was like “I see you sis” it put a smile on my face for the rest of the day,0,1,0
28,"Hahahaha love the message! I am definitely the one who counts how many blacks are in the room. I used to get sad or angry but know, I am aware that more and more black people is travelling. We are slowly getting there 💕",0,1,0
29,"I love the self reflection and awareness in this. As a woman and POPC (person of partial color 😂) I always LIVE for other female voices stepping up and commanding attention in this space, and out in the world. Thanks for sharing your experience at Oktoberfest! It looked like you had a blast! So happy our paths crossed (if only briefly) at travel con. I'm living for everything you share on this platform!! ❤️",0,1,0
30,To be honest I love the stares!!! I don't know why they stare but I think they stare not because of color but of out confidence!!!!!i was told once by someone when I took offense that they were staring at me a couple until after I ask the lady if they were good? To my surprise they were complimenting me when I thought the elephant 🐘 was in this particular location 😭. I love ur pg just found u hon looking forward to see all ur travels 😘🤗🤗🤗,0,1,0
31,I am usually the only black one in Hawaii. I thought there would be more over here. I still love it!,0,1,0
32,This is such a powerful yet dope post! I travel alone sometimes and when I visited New Orleans I visited a plantation and was one of maybe three blacks there out of many. It's was the most uncomfortable yet touching experience I have ever had and I would do it again a thousand times! Your post is so motivational! #keeplivingandnotlimiting,0,1,0
33,"""Ger rid of the mentality that the lack of Black people in a space voids my participation."" DOPE 🙌👏",0,1,0
34,"@glographics I love the joy in this picture. Btw, where there many black people there?😂",0,1,0
35,@glographics I haven't been to Oktoberfest since 2012! I need to revisit ASAP! Keep us posted on if you do a group thing. Would love to bring some more #blackgirlmagic !!,0,1,0
36,"@RollingWithTrin: ""1, 2, 3, 4, how many niggers are in my store? I knowwww you're stealing!"" &#128514;&#128514;&#128514;",0,1,0
37,"@SalomaeSadiqa: It's because you can't bend me, you can't buy me and you can't make me into your nigger! #Farrakhan #TheTime",0,1,0
38,@Sam_James3: @will123_william @haydenhill13 @aknadnrye @khalilreed I don't care tho cracker,0,1,0
39,@SeanPrice: This nigger tattoo show is horrible,0,1,0
40,@SnipersInPeril: @ShinSnipes happy birthday my little cotton picker,0,1,0
41,"@SnowThaProduct: i can do somethin good but im always gon be a ""wetback"" coo.. &#9996;",0,1,0
42,@Tae_Rhodes: &#8220;@kim92493: &#8220;@Tae_Rhodes: @kim92493 @patpatbush uhhh you've been judged&#8221; it happens. #whitepower...I'll hang you nigger&#8221; wo&#8230;,0,1,0
43,@TheAfricanSiren: Automatically suspicious of white folk who try too hard to show they like us darkies.,0,1,0
44,"@TheOnlyReed: IDC what phone u got, lol silly nigger",0,1,0
45,"@Tiqqz: @ShinSnipes i woke up with a sore throat, im cold, niggers will be niggers. so terrible",0,1,0
46,@ToyaMiani: The reason you called Jesus a monkey is because you knew he was not your color #Farrakhan#TheTime,0,1,1
47,@UNCLERUCKUS_BD: Being a nigger isn't a color it's a state of mind,0,1,0
48,@VaTxn: Illegal alien is not a race. It's a crime. @MuchoMacho @McDonalds @jeandeaux1776 @cspanwj #wetbacks http://t.co/pf2YpelyOP,0,1,0
49,@WhitesOnly_1: #niggers! http://t.co/Hb3uJaLky2,0,1,0
50,@Woody_AFC: I saw a great chimpout 2 summers ago. A middle aged Salvadoran and his 15 Yr old son got wasted by 6 beaners at the metlife &#8230;,0,1,0
51,@_asslxrd_: my inner nigger is coming out,0,1,0
52,@cigarsNscotch: What's black and yellow and not going to win this year? WRONG! The answer is Tiger Woods.,0,1,0
53,@frankthetank215: There might be a couple cotton pickers on the spurs but they all play unselfish white man basketball,0,1,0
54,@halfricannnnn: nigger,0,1,0
55,@jjauthor: US ghettos-driven by liberal ideology; forged by unions &amp; bankrupted by self-serving Dems catering to parasites!#tcot http://&#8230;,0,1,0
56,"@kwagiheath: It's ""Comfortable"" but niccas like me say ""Com-tha-ble""...smh",0,1,0
57,@occdissent: Ann Coulter admits on FOX News that America has a negro problem. #crime #tcot #gettingreal,0,1,0
58,@realist_iLLest: Mine too &#128513;&#128588;&#128076; &#8220;@187XO_: This ma niggah @trigga_tre123 &#128076;&#8221;,0,1,0
59,@salmeron_bryan: You're not the father ! What every Mexican/nigger loves to hear.,0,1,0
60,@saramariewelch: Been my main nigguh since digital camera selfies @thorpe_emily http://t.co/XiQiRbQ7mP,0,1,0
61,"@ugIycutie: one, two, three, four, how many niggers are in my store?",0,1,0
62,"@useemitch: 1, 2, 3, 4... how many niggers are in my store, I knooooooow your stealing! &#128514;&#128514;&#128514;",0,1,0
63,@veeveeveeveevee: If I was Obama Id call a press conference &amp; slit joe bidens neck on live tv just 2 show these crackers I mean business&#8230;,0,1,0
64,@xDSmooth: The way this niggah just flinched at this movie was #priceless @1BookieG,0,1,0
65,"S/O to my favorite nigger to work on the plantation @Pretty_WarZone just remember next time, ask for the watermelon. Dont steal it.",0,1,0
66,"Same reason u look like anthony davis with them eyebrows""@RyanH_Slick: Why the fuck do niggers act so different when girls are around?:-S""",0,1,0
67,Scandal: A Negro Bed Wench's Fairy-tale and propaganda: http://t.co/tp1Sa5u8uO via @YouTube: A must see for Hebrew Daughters of Zion!,0,1,0
68,Seem like da colored folk be gettin in da way lately. I just sayin,0,1,0
69,Senator @tedcruz is an anchor baby! Go back from where you came. #natural #born #Canadian,0,1,0
70,She got every niggah lookin like dam,0,1,0
71,Sitting at the bar at work watching Walking Dead and all these fucking wetbacks decide to come in &amp; turn on their spic music. Jesus Christ,0,1,1
72,So I decided to drive to the good walmawhere the colored folks don't go bc it's food here.,0,1,0
73,So niggers really believe Phelps just smokin on a regular huh? Tell me now &amp; I'll log off for the night,0,1,0
74,Soetoro/Obama is moving the country #Forward w/ his vision. His vision is to downsize our 'oppressive' country and get even w/ whitey. #War,0,1,0
75,Some of these hood negros don't deserve bail money the way they be visiting jail.,0,1,0
76,The South is full of white trash. The Midwest is full of white trash. The West Coast if full of white trash.,0,1,0
77,The blacks in #California are typical niggers.,0,1,0
78,They should have never gave a cracker a transmitter!!!!!! @realdjTV will flip when he sees this. http://t.co/cYCdbhbXkQ,0,1,0
79,This niggah know wassup,0,1,0
80,This nigglet &#10084;&#65039;,0,1,0
81,Told my dad to go buy cookies for the graduation reception...this nigga bought Oreos.,0,1,0
82,U coons can't wait to wear them Oreo J's,0,1,0
83,Waiting on this wetback sycksyllables http://t.co/L8wqZduzZE,0,1,0
84,Watch out nigger lovers. You day is coming. http://t.co/ZV1CpK1iy8,0,1,0
85,Watching the nigger movie Menace2society. Trying to learn more about the enemy. Good reconnaissance.,0,1,0
86,We hate you too lil nicca! Lol @redfernave: I Hate The Steelers Dawg,0,1,0
87,What a wetback looks like when he gets caught crossing the border. @Ilovebamf http://t.co/j3Uf1TYubO,0,1,0
88,"What ppl expect, august aslina is a nig from New Orleans",0,1,0
89,When a pussy nigga socks you and doesn't knock you out.,0,1,0
90,"When it rains it's good ""go to the mall weather"" all the coons be at home",0,1,0
91,Why do so many filthy wetback half-breed spic savages live in #LosAngeles? None of them have any right at all to be here.,0,1,0
92,You are a jiggaboo...!,0,1,0
93,You can't owe me shit ion trust niccas,0,1,0
94,You state it gook,0,1,0
95,You're just another nigguh.,0,1,0
96,coons,0,1,0
97,in real life and online I follow that. sorry folks but just cause I look like a border hopper don't mean I am one. born and raised here,0,1,0
98,inb4 you unfunny nigger kill yourself,0,1,0
99,looking like a hillbilly and not matching is what I do best goodnight losers http://t.co/caGHBLKAXQ,0,1,0
100,my mom tried to get me to buy beaner boots bc they were on sale like I'm not in a mariachi band please stop.,0,1,0
101,redneck in the White House // Moccasin Creek &#128077;&#128076;,0,1,0
102,tell the hating niggah,0,1,0
103,"which one of these names is more offensive kike, wop, kraut, wetback jigaboo, towelhead, gook, or redskin.",0,1,0
104,you're all niggers,0,1,0
105,"@Pusha_TeeWat: Niggas fight in the NBA and they're called ""ghetto"" &amp; ""don't know how to act"" but there's a brawl in NASCAR and nobody sa&#8230;",0,1,0
106,@Queen_Quita_: &#127908;&#128553;I just touchdown on pussy nigga!,0,1,0
107,@RIPvuhsace: Most of yall females boring as fuck then yall wonder why niggas only talk about havin sex bc theres nothin else to talk abo&#8230;,0,1,0
108,@RT_America: US Army removes &#8216;negro&#8217; as official reference to black people after public outrage http://t.co/qtiTEzE7Bh http://t.co/nudHr&#8230;,0,1,0
109,@Ra_Shia: Quotable @ChrissiBaxter: If my man ain't appreciating me this pussy DEFINITELY IS gonna end up in another nigga mouth. You &#8230;,0,1,0
110,@SCAR_49: @16stanleys @odale_ese118 hahah that niggah got hella checked ! Do your thang Uce. #PowerCouple,0,1,0
111,@SEMAJ_HOEE_: &#8220;@tiffanyluxride: Damn so many fake niggas &amp; bitches&#8221;,0,1,0
112,@TaddSaelee: I was in her while her nigger was in there makin dinner,0,1,0
113,@ThaReal_Elijah: Real niggah over here&#128175;&#128520;,0,1,0
114,@ThatKidJony: I'm trying to pass my nigguh. http://t.co/xwD8jPpLmH,0,1,0
115,"@TheOneMiss_Luu: ""@ryrystine: Aye everyone buy some bombass brownies tomorrow from my wigga @JacklynAnnn"" They don't contain marijuana b&#8230;",0,1,0
116,@TomOlson8: @1Dittlinger That has redneck written all over it lol. Drunks can use gravity to get down &#128563;,0,1,0
117,"@TriggaTrav187: @Im_Yung_Jay working on diz music, be in studio soon nicca",0,1,0
118,@Tweets2Sweet Or lack of &#8220;@HumbltonBanks Smh u niggers &amp; ur music knowledge&#8221;,0,1,0
119,@UNCLERUCKUS_BD: Andrew Bynum got traded and then they waived him the very next day... a nigger can't keep a job,0,1,0
120,@UNCLERUCKUS_BD: Somewhere in the ghetto it's a nigger getting shot over BBQ,0,1,0
121,"@WayneDupreeShow: MT @COACHKtoLA: @waynedupreeshow is paid by white supremacist, they always get a negro to do their dirty work #Fergus&#8230;",0,1,0
122,"@Yaremisxo: &#8220;@DonQuixtote: ""@Yaremisxo: Actually, I take that back &#128530; you niggas ain't loyal"" im loyal fam&#8221; nah negro nah",0,1,0
123,@Yaremisxo: &#8220;@DonQuixtote: @Yaremisxo then how yall got here b&#8221; stfu negro,0,1,0
124,"@___TheFuckery: ""@187XO_: ' You messin with broke niggahs you gon be broke niggah &#1043323;&#1043323;&#1043323;&#1043323;&#10071;&#65039;"" nigga preeeeeeeach ! !",0,1,0
125,@__nijel: Niggas be out here loving ALL they hoes...that's a no no.,0,1,0
126,@_elennamichelle: @erykahminor_ miss ya too nigger &#128539;&#128536;&#128536;&#128536;&#128536;&#128525;,0,1,0
127,@_groovymovie: &#8220;@Shane_A1: Hmu talmbout match but when I pull up its 30 other niccas wit ya &#128530;&#8221; smfh shit like that kill me,0,1,0
128,@_iChrisP: &#8220;@Shane_A1: swear me n zee da only niccas who aint got da update yet&#8221;&lt;I'm right there wit cha bruh,0,1,0
129,@_kivnaaa: @VivaLaKash &#128514;&#128514;&#128514; on God i be thinking that . lol people at school be showing me this nigguh videos . im like &#128563; he famous oss &#128514;,0,1,1
130,"@amazingatheist: America is like a drunken redneck flailing his fists around, raving incoherently. He's kind of funny, but also you'r ...",0,1,0
131,@binniemouse: @WhatsAshilmao i have morals negro. unlike you,0,1,0
132,"@bitchdicknigga: @Tronkitty bet nigger, I'm waiting for the car keys",0,1,0
133,@bniceloco: Charlie Sheen is the realest nigga alive http://t.co/pk0nEjIOVh,0,1,0
134,@chvrchs: my rapper name would be nigger,0,1,0
135,@clurfogarty: All Babies are born hipsters because they come out of the hospital in beanies.,0,1,0
136,"the microwave at work is broken, so my ghetto ass put a hamburger patty in the toaster to warm it up..",0,1,0
137,"@dia_smiley_ Saudi hunny, being armed by America, UK & UAE is also contributing",0,1,0
138,the Saudi family is one of the most inhumane people in the world. 🖕#saudi,0,1,0
139,@ahmedakhonzada actually they really are I'm living in Europe but i was working in some restaurants where Arabs were the guests always.... They' like to order to much and I saw many time all the food they order goes to the 🚮🚮🚮..,0,1,0
140,@un_apologatically_muslimah its so sad the sheikhs that call themselves the guardians of two holy mosques do the worst things ever,0,1,0
141,Rot in hell Saudi Arabia's 😢,0,1,0
142,@ahmedakhonzada yeah right but even random people are so cruel and not merciful...thats what makes me angry I don't know how rich Arabs can live like thet I can't understand.... They can feed poor people but it's like who cares they are just poor people,0,1,0
143,The Saudis are given the holiest sites for the Islamic world. These are the people who are to care for them that disregard their own brothers and sisters,0,1,1
144,Our greatest enemy is within the ummah: Saud and his offspring,0,1,0
145,@nada2771 there is country a hunger strike being undertaken by a woman in America. Yemen needs help from many places. I try to help by sending money to help to buy food. Because the thing is. There is food in Yemen but people don't have the money to buy it,0,1,0
146,I hate the Saudi regime! May they face the wrath of God for killing innocent Yemenis,0,1,1
147,@jaffar.is.here May allah bless u ameen🙌,0,1,1
148,"Saudi Arabia 🇸🇦, doing a great job in Yemen 🇾🇪",0,1,0
149,My cousin came back from the middle East and spoke with a guy in Yemen eating mud to stay alive it's very important we all help the poor it's our duty as Muslim,0,1,1
150,Damn to saudi Arabia that they call themseves muslim!,0,1,1
151,It's an ARAB PROVERB.,0,1,0
152,"@ali_army9 they helped people who were traumatized,huetc,health care in America is extremely expensive and lots of people can't afford it or go bankrupt trying,they raised money for these people and they did Dawah,in today's world where the media shows Muslims to be horrible these people showed that we aren't and that we should help people regardless of religion",0,1,1
153,"@_.yasemindemir._ I'm sorry for saying those words. I do not want to cause any harm to anyone but as a Muslim I am worried about the Muslims in Palestine. You're right, and I repeat that they forgive if I have offended someone. 🌙",0,1,1
154,"@yusrabz as a Muslim revefrom a Jewish/Christian family, I care DEEPLY for the people of Palestine and other areas. I always donate what I can, but we must remember love and charity goes to all. When people of different faiths see us helping it can encourage them to be Muslim and see the truth. I converted because I saw the beauty of Islam and it's kindness. We have enough faith to share with everyone.",0,1,1
155,@hernanidiyana You're amazing! What a proper response. Don't let anyone get to you girl! Indonesia is beautiful and so are you! ♥️,0,1,0
156,Im iranian...visit our of apitch🌿,0,1,0
157,"Drop the islam, christianity, new age religion, buddah, and european stuff. Find out what traditional Afrikan practices, spirituality, and psychology is about and apply them to your daily life. Learn an Afrikan language (fuck english). Your world will change drastically.",0,1,1
158,@elysegoldman HOW IS TRUE SO CUTE she could b Sicilian in this outfit lol,1,1,0
159,"@caradelevingne Wanna plug your gay white bum. Then pull out my stinky lollipop, observing the the highly thrilling gape winking at me. 🐯 #wild",1,1,0
160,Nigga Feet need some sun😂,1,1,0
161,"I love how you embrace the world, Glo! I work for a Japanese American organization and was at my first Japanese street festival years ago when I-for the first time!-looked around and said to my colleague, ‘I am the only blonde person here,' and she said, ‘yeah, now you know how I've felt my whole life.' I'm trying to see past my white privilege all the time now.",1,1,0
162,@RakwonOGOD: U hoes going to church this morning like y'all wasn't busting it wide open for niggas about 4 hours ago,1,1,1
163,@RosieZaya1: Ur fucking white trash,1,1,0
164,@STROCORLEONE @ThoughtsOfRandy @Yummys_World all deze hoes got past demons in em... YOLO nigga lol + Hahahahaha,1,1,0
165,"@Seymor_Buccs: Man, most of you coons couldn't jus up in quit yo job, if you found out ya boss racist, so shut tha fucc up. Niggas love &#8230;",1,1,0
166,"@SteveStfler: ur a faggot if you change your name to your bday just so you can get bday tweets. this aint FB nigga, fuck yo birthday",1,1,0
167,@SwaaggyyV: Fucking chinks in Clash of Clans always fuck me up. Bitch ass kamikaze faggots.,1,1,0
168,@TAXSTONE: Niggaz like all them naked bitches on IG pics NIGGAZ DONT LOVE EM,1,1,0
169,@TankTopshotta: A real nigga gone teach his bitch the game not run it on her &#128582;&#128130;&#128520;,1,1,0
170,"@Theprinceofnj: &#8220;@SMCo71: "" if you aint bout that Murder Game pussy nigga shut up ""&#8221;252 GANG &#128514;&#128514;&#128514;&#128514;&#128514;",1,1,0
171,"@TorahBlaze: @1SonofYahweh they should be ashamed of themselves. I'll be single for life before I fuck w a nasty, faggot ass white man.",1,1,0
172,@TrueNovacane: Only pussy niggas wouldn't fuck with a chick if she has stretch marks..,1,1,0
173,@Unorthodex: Nah I hate white people now since he looks like a dyke @ElBasedParko: I think he just ended racism http://t.co/VgjYHn4bvt,1,1,0
174,@Wayne__Da__Boss: I hate a bitch dat act like a nigga. &#128530;,1,1,0
175,@XdalovelyTishai: Most of these niggas go broke for these hoes,1,1,0
176,@YABOYLILB: If I ride up to your bitch in these then... homie consider yourself a single nigga. http://t.co/dTJY9RHtdF,1,1,0
177,"@_Cashhhhhh: Was deleting this pic until I realized a dike in the back ground dressed like a nigga with wedges on &#128514; , bitch I'm &#128128; http:/&#8230;",1,1,0
178,@__J_R: Smh nigga is mildly retarded @Thotcho: LMFAO @JustDoJ: If Griff wasn&#8217;t injuries we&#8217;d legit be 6-1,1,1,0
179,@_iHATEMOON: All these bitches &amp; niggaz with they imaginary haters .....,1,1,0
180,"@_politeASSHOLE: 4) Only pussy niggas who suck dick cry about someone being in their mentions, tweet the person then cry again about the&#8230;",1,1,0
181,@_tiffnasty: Why do y'all niggas entertain that Nicole bitch? I don't see how y'all can ever take a bitch that posted naked pics serious&#8230;,1,1,0
182,@ajade___: everybody tryna fuck the next nigga bitch not knowin that his bitch is the next nigga bitch &#128586;&#128566;,1,1,0
183,@alexishope_2014: You got niggas &amp; I got bitches but I want you... &#128149;&#127926;,1,1,0
184,@amour_tajiana: Only fuck niggas would wanna continue to mess with these messy ass bitches vs. somebody who HAS been down for them all a&#8230;,1,1,0
185,@anthonycampos23: Lebron your still a bitch you suck nigger hope you die,1,1,0
186,"@boburnham: In the future, gay culture will be considered cool by America's teens and instead of wiggers there will be straggots.",1,1,0
187,@iDntWearCondoms: Stop stalkin your girl social media u bitch ass nigga,1,1,0
188,@imDOPE_GetHigh: @Whackko man some lame niggah when I find him I'm unfollowing TF out his ass!,1,1,0
189,@julia_rodd: When kennies angry he talks like a ghetto black man and I really don't even think he notices HAHAHAHAHAHAHA I'm laughing @ &#8230;,1,1,0
190,"@kcarmouche: How you real, don't put NO money on you nigga books? But chu buy a bitch Chanel just to hit the Puss!",1,1,0
191,@kevnasto: I would rather fuck a fat chick than allow a nigger into my house.,1,1,0
192,"@lightskin_chink: This vine still funny as shit to me &#128557;&#128557;&#128514;""How many niggers are in my store""? https://t.co/t7rUJTKEi1",1,1,0
193,@lildurk_: I don't fuck with bitch niggas I only fuck niggas bitches&#128556;,1,1,0
194,@markiiejay: You got niggas &amp; i got bitches,1,1,0
195,@natal_mendoz: Whore slut cunt bitch nigga,1,1,0
196,@nick_pertile: Oh my goodness do I hate Chinese people. Fucking zipperheads,1,1,0
197,@s_bitchy: Bitches be fallin so Inlove w. Niggass &amp; then he go get a new bitch &amp; they try go get a new nigga to try to forget about the &#8230;,1,1,0
198,"@sblmnl_crmnl: @woods_lamar shut your nigger ass, lamar",1,1,0
199,@stepheeezyy: *nigga *bitch *him &#8220;@187XO_: ' I will never date a female with another niggah name on her lol . Wtf .&#8221;,1,1,0
200,@taylor_TM: @PacmanJonez @PhilWOTG you the whitest person on my TL but you always so ghetto. Im sick of it,1,1,0
201,@uncledaddy69: @weakenednachos California's biggest retards. Don't forget about HOLY who just released an amazing EP.,1,1,0
202,"@vodkapapixo: Black girls have never been into me. I guess cause I don't call them hoes, sell drug's or shoot niggas o well.",1,1,0
203,"@wisdom_spewed: No, you stupid redneck, ""Animal Husbandry"" does NOT mean you can get hitched to your blue tick hound, Misty.",1,1,0
204,Roman Catholics in the US are trash. They give Catholics in Europe a bad name.,1,1,1
205,"SIR. PLEASE go text your Mexican bitch, because I'm not Finna deal witcho childish ass &#128514;",1,1,0
206,"Seattle Mayoral Election this year. A choice between a bunch of women, non-whites, and faggots/fag lovers.",1,1,0
207,Seeing ugly bitches get pregnant let's me know that nigga swill fuck anything with a pussy. Alcohol is no longer the excuse. You was pressed,1,1,0
208,"Sheeple just like &#128073;@sweetpotatertot:OH those ""racist"" ""sexist"" ""teabaggers""who just elected these two old white men. http://t.co/x3BwNM3jiI&#8221;",1,1,0
209,Shoot that nigga an his shorty bitch .,1,1,0
210,Some niggas save hoes,1,1,0
211,Someone shut this beaner up please.,1,1,0
212,Sorry fo da rant. It make me mad and ashamed to be colored. I wish I be white so y'all would like me,1,1,0
213,Southwest airlines is like driving in a mini van with your white trash cousins who love to huff paint thinner before before working.,1,1,0
214,"Spending money on these hoes , nigga you aint fuck SHIT &#10071;&#65039;",1,1,0
215,Spics are half breed trash. No filthy native should be allowed to speak to any European.,1,1,0
216,Stu a rape faced faggot man I'm sick of this nigga,1,1,0
217,Stupid white people making my posts relevant to they own life #stupid #cousintoucher #honkie #whitetrash #blonde,1,1,0
218,"Subtweet me one more time, you dirty chink whore",1,1,0
219,That dumb black bitch that was getting the cards for the picture made me so fucking mad she ruined my day &#128545;&#128545;&#128074;&#128298;&#128163;,1,1,0
220,That fucking slutty beaner,1,1,0
221,That shade of faggot clashes with your eye color.,1,1,0
222,The #midwest of the US is white trash.,1,1,0
223,The #south of the US is white trash.,1,1,0
224,"The @GOP elite call conservatives ""our niggers"" behind closed doors. #tcot #teaparty",1,1,0
225,"The nations know who we are, but we rather be real niggers &amp; bad bitches. http://t.co/Ge6tNhxzAF",1,1,0
226,The people who have historically been called white trash were called that for a reason. They're white trash. The truth hurts.,1,1,0
227,The rich kids of beverly hills is trash and not even entertaining trash. And why do they all look mid thirties?,1,1,0
228,The thing about working with black people. These bitches never on fucking time then wanna complain about a shocheck. Bitch die.Today. now,1,1,0
229,These hoes be lying to all of us nigga I got news for the monogamous niggas yo bitch fucking anonymous niggas!!!,1,1,0
230,These niggas retarded... Lmfaoo,1,1,0
231,This nigga jerry room smell like bad pussy!&#128530;,1,1,0
232,This nigga over here telling me he dont fuck with this bitch . When he do &#128553;&#128514;&#128514;. Or maybe she lying lol,1,1,0
233,This rain got yall women talking out your ass.. A nigga should spend 80% of his income on a bitch &#128514;&#128514; bruh get these hoes the fuck outta here,1,1,0
234,This time a night dark skin niggas really turn into lightskin niggas I swear I seen a darkie try buying Starbucks 3mins ago but they closed,1,1,0
235,This white bitch had the fuckin nerve to call me a nigga&#128078; when shes the one payin for her lips to get bigga&#128514;&#128564;,1,1,0
236,This white bitch tried to set me up for a racial war ... Lol bitch it's impossible I'm smarter then you,1,1,0
237,Those guys are the definition of white trash,1,1,0
238,Ugly fucking nigger baby. Thought it was a gorilla at first.14/88 http://t.co/Bq3G01rxKN,1,1,0
239,Washing my coon hair,1,1,0
240,Wassup wit all these fucc niccas,1,1,0
241,"Well gahdamn. @HuhWhatsACondom: Wooooow &#8220;@moesdeph: ""Good job mommy"" cutest thing blue ivy ever done she still an ugly nigger baby&#8221;",1,1,0
242,"What these bitches want from a nigga?, like on some DMX shit",1,1,0
243,What's worse than #Ebola ? The F-ing retards trying to make it a race issue. Al Sharpton has caused more American death than ebola.,1,1,0
244,White bus drivers are all white trash. #LosAngeles,1,1,0
245,White trash have taken over every charity organization in the US.,1,1,0
246,White trash okies don't count as real white people. To count as a white person you have to count a person. Okies aren't people.,1,1,0
247,Why you think all these niggas end up with all these kids? Fucking ugly bitches,1,1,0
248,Y'all hoes really get mad cause a nigga don't want cha,1,1,0
249,"Yea alright redneck white trash""@CamoPearls: Stupid niggers hollering out their car going down the road trying to hit on me! Fuck y'all!""",1,1,0
250,"Yost on Portsmouth ""this is the biggest white trash county in the nation"" #YostKnowsMost @iDOWNTOWN",1,1,0
251,"You #football #nigga #KISS #ISIS #wifebeater #faggots&gt; WE SEE YOU&gt; Shout it out to the RADICAL #IslamNation, #YO&gt;",1,1,1
252,You a lame ass nigga still cuffin these hoes my bitch got a bitch with er,1,1,0
253,You like them bitch niggas.,1,1,0
254,"You old bitter,salty ass niccas make my flesh crawl off my bones! Such bitches you are! #DontArgueJustAcceptIt",1,1,0
255,ah nigga dat cares about opinions and get involve in hoe shit either Gay broke or ain't getting enough pussy!!,1,1,0
256,bitch you're white stfu with your shitty Spanish,1,1,0
257,bitches be like i'm mixed wit Italian Chinese nd African American I be like bitch just cuz you ate ur&#8230; http://t.co/ZdWd3l8M,1,1,0
258,cant trust niggas when it come to bitches,1,1,0
259,dem niggas ca have them white hoes.... I love my beautiful black sistas....,1,1,0
260,"fuck ray rice ,someone crack that bitch",1,1,0
261,hoe ass nigga &#128569;,1,1,0
262,ion speak on how flaw niggas and thirsty hoes be on I.g but boyyyyyy look at here &#128586;&#128586;,1,1,0
263,nigga u a cunt where yo fendi clutch,1,1,0
264,niggas ain't playin a gram of defense man George need to tell these bitch ass niggas man up,1,1,0
265,smh @uglyhxes Tyga shoulda knew Blacc Chyna was a hoe when his son crip walked out her pussy.,1,1,0
266,someones clearly a stinky ass beaner...,1,1,0
267,the receptionist im always forced to talk to is such a racist cunt. i called her for an error and she said she'll call me. 40 mins. nothing.,1,1,0
268,you a pussy ass nigga and I know it nigga.,1,1,0
269,@PurpleCaine: Somebody get my nigga. @Rvm3o some pussy cuz this nigga dont get no ass so imma need one of my hoes to slide in my nigga &#8230;,1,1,0
